name,en-name,price,category,url
کفش مخصوص دویدن مردانه مدل اسکای کد 4105,,"142,500",,https://www.digikala.com/product/dkp-1658250
کفش کوهنوردی مردانه هامتو مدل 1-1520,,"1,270,000",کفش ورزشی مردانه هامتو,https://www.digikala.com/product/dkp-858295
کفش مخصوص دویدن مردانه ریباک مدل fv0617,,"2,750,000",کفش ورزشی مردانه ریباک,https://www.digikala.com/product/dkp-4609410
کفش کوهنوردی مردانه هامتو کد D1639-2,,"1,190,000",کفش ورزشی مردانه هامتو,https://www.digikala.com/product/dkp-2033744
کفش راحتی مردانه مدل epic react b,,"2,600,000",,https://www.digikala.com/product/dkp-723641
کفش کوهنوردی مردانه مکوان کد 1258,,"950,000",,https://www.digikala.com/product/dkp-3944875
کفش کوهنوردی مردانه هامتو مدل 210568A-1,,"1,550,000",کفش ورزشی مردانه هامتو,https://www.digikala.com/product/dkp-3867050
کفش کوهنوردی مردانه هامتو مدل 210568A-2,,"1,550,000",کفش ورزشی مردانه هامتو,https://www.digikala.com/product/dkp-3867415
کفش کوهنوردی مردانه مدل تاکتیکال,,"569,900",,https://www.digikala.com/product/dkp-2350902
کفش طبیعت گردی مردانه  مدل x-ultra,---,"1,580,000",,https://www.digikala.com/product/dkp-3515651
کفش کوهنوردی مردانه هامتو مدل 210473A-2,,"1,445,000",کفش ورزشی مردانه هامتو,https://www.digikala.com/product/dkp-3793792
کفش مخصوص پیاده روی مردانه سالومون مدل 407423 MIRACLE,,"2,778,650",کفش ورزشی مردانه سالومون,https://www.digikala.com/product/dkp-1521335
کفش طبیعت گردی مردانه سالومون مدل Speed Cross 3 BLRD4463,,"1,900,000",کفش ورزشی مردانه سالومون,https://www.digikala.com/product/dkp-4608374
کفش مخصوص پیاده روی مردانه مدل Gel-Nimbus 21 - 1012A156-021,,"2,600,000",,https://www.digikala.com/product/dkp-2215003
کفش کوهنوردی مردانه هامتو مدل 210568A-3,,"1,550,000",کفش ورزشی مردانه هامتو,https://www.digikala.com/product/dkp-3867113
کفش طبی مردانه مدل NC 0450,,"465,000",,https://www.digikala.com/product/dkp-3670144
کفش طبی مردانه مدل NC ecco 0440,,"495,000",,https://www.digikala.com/product/dkp-3670126
کفش طبی مردانه ایران پا مدل 202 P,,"355,300",,https://www.digikala.com/product/dkp-4173119
کفش پیاده روی مردانه نایکی مدل ZOOM 2K,,"3,900,000",کفش ورزشی مردانه نایکی,https://www.digikala.com/product/dkp-4305344
کفش مخصوص پیاده روی مردانه  مدل zoom pegasus,,"1,750,000",,https://www.digikala.com/product/dkp-2942738
کفش راحتی مردانه مدل 5327,,"959,200",,https://www.digikala.com/product/dkp-2937287
کفش مخصوص دویدن مردانه  مدل ultra boost 19 کد 3773,,"413,250",,https://www.digikala.com/product/dkp-1894802
کفش طبیعت گردی مردانه نورث فیس مدل FUTURELIGHT,,"5,338,600",کفش ورزشی مردانه نورث فیس,https://www.digikala.com/product/dkp-3742786
کفش فوتبال مردانه نایکی مدل CJ1292-401,,"2,800,000",کفش ورزشی مردانه نایکی,https://www.digikala.com/product/dkp-3668629
کفش مخصوص پیاده روی مردانه ریباک مدل FV3839,Reebok FV3839 Walking Shoes For Men,"2,595,000",کفش ورزشی مردانه ریباک,https://www.digikala.com/product/dkp-3290722
